시도,시군구,성별,연도,급여유형,등급,인원
충남,아산시,남자,2014,일반,4등급,110
충남,아산시,남자,2014,일반,5등급,7
충남,아산시,남자,2014,일반,등급외,121
충남,아산시,남자,2014,감경,계,58
충남,아산시,남자,2014,감경,1등급,3
충남,아산시,남자,2014,감경,2등급,16
충남,아산시,남자,2014,감경,3등급,23
충남,아산시,남자,2014,감경,4등급,14
충남,아산시,남자,2014,감경,5등급,0
충남,아산시,남자,2014,감경,등급외,2
충남,아산시,남자,2014,의료급여,계,8
충남,아산시,남자,2014,의료급여,1등급,0
충남,아산시,남자,2014,의료급여,2등급,1
충남,아산시,남자,2014,의료급여,3등급,3
충남,아산시,남자,2014,의료급여,4등급,2
충남,아산시,남자,2014,의료급여,5등급,0
충남,아산시,남자,2014,의료급여,등급외,2
충남,아산시,남자,2014,기초,계,76
충남,아산시,남자,2014,기초,1등급,2
충남,아산시,남자,2014,기초,2등급,5
충남,아산시,남자,2014,기초,3등급,21
충남,아산시,남자,2014,기초,4등급,13
충남,아산시,남자,2014,기초,5등급,1
충남,아산시,남자,2014,기초,등급외,34
충남,아산시,남자,2015,계,계,710
충남,아산시,남자,2015,계,1등급,35
충남,아산시,남자,2015,계,2등급,104
충남,아산시,남자,2015,계,3등급,215
충남,아산시,남자,2015,계,4등급,176
충남,아산시,남자,2015,계,5등급,26
충남,아산시,남자,2015,계,등급외,154
충남,아산시,남자,2015,일반,계,527
충남,아산시,남자,2015,일반,1등급,27
충남,아산시,남자,2015,일반,2등급,79
충남,아산시,남자,2015,일반,3등급,160
충남,아산시,남자,2015,일반,4등급,125
충남,아산시,남자,2015,일반,5등급,22
충남,아산시,남자,2015,일반,등급외,114
충남,아산시,남자,2015,감경,계,79
충남,아산시,남자,2015,감경,1등급,5
충남,아산시,남자,2015,감경,2등급,17
충남,아산시,남자,2015,감경,3등급,26
충남,아산시,남자,2015,감경,4등급,28
충남,아산시,남자,2015,감경,5등급,2
충남,아산시,남자,2015,감경,등급외,1
충남,아산시,남자,2015,의료급여,계,7
충남,아산시,남자,2015,의료급여,1등급,0
충남,아산시,남자,2015,의료급여,2등급,1
충남,아산시,남자,2015,의료급여,3등급,3
충남,아산시,남자,2015,의료급여,4등급,1
충남,아산시,남자,2015,의료급여,5등급,0
충남,아산시,남자,2015,의료급여,등급외,2
충남,아산시,남자,2015,기초,계,97
충남,아산시,남자,2015,기초,1등급,3
